File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 260346 (19.73%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1059301 (80.27%), 260348 (19.73%), 1319649
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
attention_column,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1319649.282000
attention_row,test1,910.000000,910.000000,910.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,2478.000000,0.001000,2478.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1319649.282000
mlp_moelayer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,inf,0.000000,-nan,0.000000,0.000000,inf,inf,1319649.282000
